timestamp;T_BOILER100;T_BOILER200;T_IN;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;Sinal_vazao1
2025-05-21 03:01:33;-100.0;-100.0;-100.0;19.46;23.94;26.7;26.31;0.0
2025-05-21 03:02:27;-100.0;-100.0;-100.0;19.37;24.07;26.75;26.25;0.0
2025-05-21 03:03:20;-100.0;-100.0;-100.0;26.64;24.57;25.64;25.8;0.0
2025-05-21 03:03:22;-100.0;-100.0;-100.0;24.69;23.8;25.72;26.3;0.0
2025-05-21 03:06:59;-100.0;-100.0;-100.0;17.35;25.92;26.38;25.75;0.0
2025-05-21 03:13:33;-100.0;-100.0;-100.0;21.7;25.55;26.29;25.56;0.0
2025-05-21 03:13:35;-100.0;-100.0;-100.0;24.9;23.69;25.27;25.59;0.0
2025-05-21 03:16:04;-100.0;-100.0;-100.0;27.08;24.49;25.63;26.09;0.0
2025-05-21 03:16:07;-100.0;-100.0;-100.0;26.86;24.38;25.37;25.66;0.0
2025-05-21 03:16:08;-100.0;-100.0;-100.0;19.68;24.72;25.61;25.56;0.0
2025-05-21 03:18:22;-100.0;-100.0;-100.0;25.1;23.48;25.49;26.3;0.0
2025-05-21 03:18:23;-100.0;-100.0;-100.0;22.74;24.91;26.22;25.57;0.0
2025-05-21 03:21:52;-100.0;-100.0;-100.0;19.81;25.73;26.16;25.42;0.0
2025-05-21 03:26:52;-100.0;-100.0;-100.0;21.19;23.92;25.58;26.14;0.0
2025-05-21 03:40:18;-100.0;-100.0;-100.0;26.63;24.09;25.52;25.5;0.0
2025-05-21 03:43:09;-100.0;-100.0;-100.0;20.57;23.79;26.27;25.94;0.0
2025-05-21 03:44:13;-100.0;-100.0;-100.0;25.47;23.49;26.15;26.08;0.0
2025-05-21 03:46:52;-100.0;-100.0;-100.0;19.64;25.18;26.27;25.5;0.0
2025-05-21 03:51:52;-100.0;-100.0;-100.0;17.97;25.92;26.14;25.38;0.0
2025-05-21 03:56:30;-100.0;-100.0;-100.0;25.15;24.26;26.06;25.96;0.0
2025-05-21 03:56:31;-100.0;-100.0;-100.0;28.14;23.11;25.98;26.0;0.0
2025-05-21 03:56:34;-100.0;-100.0;-100.0;27.3;24.66;25.38;25.15;0.0
2025-05-21 03:57:03;-100.0;-100.0;-100.0;21.22;23.68;25.52;25.58;0.0
2025-05-21 03:57:07;-100.0;-100.0;-100.0;18.1;23.68;26.23;25.98;0.0
2025-05-21 03:58:44;-100.0;-100.0;-100.0;25.72;24.75;25.58;25.72;0.0
2025-05-21 03:58:45;-100.0;-100.0;-100.0;27.09;24.15;25.38;25.37;0.0
2025-05-21 03:58:48;-100.0;-100.0;-100.0;26.44;24.28;25.49;25.36;0.0
2025-05-21 04:03:49;-100.0;-100.0;-100.0;20.6;25.37;26.0;25.28;0.0
2025-05-21 04:07:52;-100.0;-100.0;-100.0;27.41;24.57;25.37;25.28;0.0
2025-05-21 04:16:52;-100.0;-100.0;-100.0;23.6;24.4;26.02;25.95;0.0
2025-05-21 04:17:02;-100.0;-100.0;-100.0;27.17;23.04;25.31;26.25;0.0
2025-05-21 04:26:08;-100.0;-100.0;-100.0;19.91;24.48;25.63;25.48;0.0
2025-05-21 04:29:31;-100.0;-100.0;-100.0;18.02;24.69;25.69;25.45;0.0
2025-05-21 04:29:32;-100.0;-100.0;-100.0;19.49;24.6;25.44;25.63;0.0
2025-05-21 04:41:26;-100.0;-100.0;-100.0;28.13;24.56;26.31;25.59;0.0
2025-05-21 04:41:27;-100.0;-100.0;-100.0;19.66;23.93;26.38;25.95;0.0
2025-05-21 04:41:52;-100.0;-100.0;-100.0;25.04;24.59;25.75;25.55;0.0
2025-05-21 04:51:21;-100.0;-100.0;-100.0;19.82;23.9;26.23;25.88;0.0
2025-05-21 04:51:24;-100.0;-100.0;-100.0;18.1;24.49;25.73;25.5;0.0
2025-05-21 04:51:52;-100.0;-100.0;-100.0;20.4;25.44;25.44;25.4;0.0
